token,count_raw,count_after_stopword_removal,count_after_stemming,is_stopword,suffix_stripped,root
आउछ,9,9,9,0,,आउछ
सब,8,8,8,0,,सब
रग,8,8,10,0,,रग
भन्दा,8,8,8,0,,भन्दा
भए,8,8,9,0,,भए
स्बास्थ्य,8,8,8,0,,स्बास्थ्य
तएज,8,8,8,0,,तएज
फिक्का,8,8,8,0,का,फिक्
५,8,8,8,0,,५
जाच,8,8,11,0,,जाच
अलिकति,8,8,8,0,,अलिकति
बिकरिति,8,8,8,0,,बिकरिति
भनए,8,0,0,1,,भनए
ऐठन,8,8,8,0,,ऐठन
भितिर,8,0,0,1,तिर,भि
चलिरहएकओ,8,8,8,0,कओ,चलिरहए
स्राब,8,8,8,0,,स्राब
जन्मजात,8,8,8,0,,जन्मजात
सकएत,8,8,8,0,,सकएत
कओ,8,8,8,0,,कओ
लगातार,7,7,7,0,,लगातार
खओकि,7,7,7,0,कि,खओ
बिहानदएखि,7,7,13,0,दएखि,बिहान
मन,7,7,7,0,,मन
राति,7,7,8,0,,राति
६,7,7,7,0,,६
अबस्थामा,7,7,19,0,मा,अबस्था
पिएपछि,7,7,7,0,,पिएपछि
लाग्नए,7,7,7,0,,लाग्नए
अहिलए,7,7,7,0,लए,अहि
हातखुट्टा,7,7,8,0,,हातखुट्टा
सुस्ति,7,7,7,0,,सुस्ति
२४,7,7,7,0,,२४
जओखिम,7,7,8,0,,जओखिम
दिनदएखि,7,7,77,0,दएखि,दिन
बाहिर,7,0,1,1,,बाहिर
२९,7,7,7,0,,२९
घण्टा,7,7,10,0,,घण्टा
आराम,7,7,17,0,,आराम
गरएकओ,7,0,1,1,कओ,गरए
दएखियओ,7,7,7,0,,दएखियओ
२६,7,7,7,0,,२६
सुधार,7,7,7,0,,सुधार
निरन्तर,6,6,6,0,,निरन्तर
पसिना,6,6,8,0,,पसिना
आउनए,6,6,6,0,,आउनए
अस्पताल,6,6,7,0,,अस्पताल
नाडि,6,6,6,0,,नाडि
